root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:12:07.494373 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 1890411002:1890411110, ack 1854538777, win 313, length 108
20:12:07.520324 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 29708:29872, ack 1, win 313, length 164
20:12:07.520446 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 29872:30036, ack 1, win 313, length 164
20:12:07.520552 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 30036:30200, ack 1, win 313, length 164
20:12:07.520657 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 30200:30364, ack 1, win 313, length 164
20:12:07.520747 IP 198.96.85.163.2511 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 24892, win 4539, length 0
20:12:07.520859 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.2511: Flags [P.], seq 30364:30640, ack 1, win 313, length 276
20:12:07.520942 IP 198.96.85.163.2511 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1:37, ack 24892, win 4539, length 36
^C
183 packets captured
202 packets received by filter
19 packets dropped by kernel
